Big	Grande<br>Questa scarpa è più grande dell’altra.<br>This shoe is bigger than the other one.
Like	Piacere<br>Lo fai per piacere o per solo per dovere?<br>Do you do it because you like it or just for duty?
Dislike	Non piacere<br>Sono abituata a non piacere alle persone.<br>I'm used to people who dislike me.
Gesture	Gesto<br>Rob faceva dei gesti incontrollati mentre parlava.<br>Rob made wild gestures when he talked.
Dig	Scavare<br>Il mio cane passa le giornate a scavare in giardino.<br>My dog spends its days digging in the garden.
Shake one’s head	Scuotere la testa<br>Non scuotere la testa! Ho ragione e basta.<br>Don't shake your head! I'm right and that's it.
Need	Avere bisogno<br>Di cosa può avere bisogno?<br>What does he need?
Cry	Piangere<br>Non piangere! La mamma tornerà tra un minuto.<br>Don’t cry! Mom will be back in a minute.
Go with	Andare con<br>Ti spiace andare con tua sorella a fare visita alla nonna?<br>Would you mind going with your sister to visit grandma?
Announce	Annunciare<br>Vorremmo annunciare il nostro fidanzamento la prossima settimana.<br>We would like to announce our engagement next week.
Give up	Rassegnarsi<br>Non c'è motivo per rassegnarsi. Fai un altro tentativo.<br>There is no need to give up. Give it another try.
Move	Spostarsi<br>Molte persone si rifiutano di spostarsi per lavoro.<br>Many people refuse to move for work.
Twist	Torcere<br>Quel drink mi ha fatto torcere l’intestino.<br>That drink made my intestines twist.
Make a sentence	Formulare una frase<br>È così analfabeta! Non riesce a formulare una frase.<br>He is so illiterate! He can’t make a sentence.
Oppose	Opporre<br>I ribelli hanno cercato di opporre resistenza alla polizia.<br>The rebels tried to oppose the police.
Take out	Portare fuori<br>Porta fuori il cane a fare una passeggiata!<br>Take the dog out for a walk!
Break	Rompere<br>Non toccare quel vaso cinese! Si potrebbe rompere.<br>Do not touch that Chinese vase! It could break.
Use	Usare<br>Posso usare il tuo telefono per fare una chiamata breve?<br>Can I use your phone to make a short call?
Do	Fare<br>Sta piovendo adesso. Penso di fare i miei compiti.<br>It’s raining now. I think I will do my homework.
Come	Venire<br>Vorresti venire con me al supermercato?<br>Would you like to come with me to the supermarket?
Laugh	Ridere<br>Mi fa ridere un sacco!<br>He makes me laugh a lot!
Make	Preparare<br>Oggi è il giorno giusto per preparare una torta.<br>Today is the right day to make a cake.
Search	Cercare<br>Questo è un buon sito per cercare un lavoro.<br>This is a good website to search for a job.
Take	Prendere<br>Posso prendere il tuo ombrello? Ho lasciato il mio a casa.<br>Can I take your umbrella? I left mine at home.
Say	Dire<br>Non dire una parola del nostro progetto.<br>Don’t say a word about our project.
Call	Chiamare<br>Sentiti libero di chiamarmi più tardi, se vuoi.<br>Feel free to call me later, if you want.
Give	Dare<br>Posso darti la mia opinione, se è apprezzata.<br>I can give you my opinion, if it is appreciated.
Talk	Parlare<br>Continuò a parlare e parlare senza alcuna pausa.<br>She went on talking and talking without any pause.
Hear	Sentire<br>Non riesco a sentire la tua voce. Puoi parlare più forte?<br>I can’t hear your voice. Can you speak louder?
Want	Volere<br>Non sono sicuro di volere un gelato in questo momento. Forse più tardi.<br>I’m not sure I want an ice-cream right now. Maybe later.
Help	Aiutare<br>Potresti aiutarmi per favore con queste borse? Sono così pesanti.<br>Could you please help me with these bags? They are so heavy.
Start	Iniziare<br>Iniziare un nuovo progetto è sempre una sfida.<br>Starting a new project is always a challenge.
Finish	Finire<br>Se vuoi finire il tuo progetto in tempo, dovrai lavorare sodo.<br>If you want to finish your project on time, you will have to work hard.
Become	Diventare<br>Cosa ti piacerebbe diventare in futuro?<br>What would you like to become in the future?
Leave	Uscire<br>L’ho visto uscire di casa alle 19:00.<br>I saw him leave home at 7.00 pm.
Close	Chiudere<br>Faresti meglio a chiudere la bocca!<br>You’d better close your mouth!
Listen	Ascoltare<br>Ti chiedo per favore di ascoltare attentamente le mie parole.<br>I ask you to please listen to my words carefully.
Return	Ritornare<br>Ogni mese ho bisogno di ritornare nella mia città di origine.<br>Every month I need to return to my home town.
Take off	Togliere<br>Le persone devono togliere il cappello per entrare in chiesa.<br>People must take their hats off to enter the church.
Relax	Rilassarsi<br>Ho solo bisogno di un po’ di tempo per rilassarmi.<br>I just need some time to relax.
Watch	Guardare<br>Si consiglia di guardare questo documentario prima del test.<br>You are advised to watch this documentary before the test.
Feel	Sentirsi<br>Come ti senti oggi?<br>How do you feel today?
Put	Mettere<br>Non so cosa mettere per la festa.<br>I don’t know what to put on for the party.
Remember	Ricordare<br>Non riesco a ricordare i nomi dei miei compagni di classe.<br>I can’t remember the names of my classmates.
Try	Provare<br>Ogni volta che compra un vestito, deve prima provarlo.<br>Every time she buys a dress, she has to try it on first.
Keep	Tenere<br>Sai tenere un segreto?<br>Can you keep a secret?
Wait	Aspettare<br>Quanto tempo devo aspettare perché ti scusi?<br>How long do I have to wait for you to apologise?
Hold	Tenere<br>Uno stadio è il posto migliore per tenere un concerto.<br>A stadium is the best place to hold a concert.
Cut	Tagliare<br>Non volevo tagliare il tuo braccio. Mi spiace così tanto.<br>I didn’t mean to cut your arm. I am so sorry.
Buy	Comprare<br>Ho dimenticato di comprare un regalo per mio padre. Accidenti!<br>I forgot to buy a present for my dad. Damn!
Stand	Stare in piedi<br>Perché stai lì in piedi? Prendi una sedia.<br>Why are you standing there? Take a chair.
Climb	Scalare<br>Scalare una montagna è più facile che parlare con lei.<br>Climbing a mountain is easier than talking to her.
Worry	Preoccuparsi<br>Non c’è bisogno di preoccuparsi. La situazione è sotto controllo.<br>There is no need to worry. The situation is under control.
Fear	Temere<br>Non c'è niente da temere. È solo un semplice test.<br>There is nothing to fear about. It’s just a simple test.
Believe	Credere<br>Non potevo credere a quello che ho sentito su di lui!<br>I couldn’t believe what I heard about him!
Thank	Ringraziare<br>Ricordati di ringraziarla per il regalo.<br>Remember to thank her for the present.
Miss	Mancare<br>Come hai potuto mancare quella palla?<br>How could you miss that ball?
Enter	Entrare<br>Quando entri, chiudi la porta, per favore.<br>When you enter, close the door, please.
Pull	Tirare<br>Se vuoi entrare, faresti meglio a tirare la porta.<br>If you want to enter, you’d better pull the door.
Lift up	Sollevare<br>Puoi aiutarmi a sollevare questa scatola? È piuttosto pesante.<br>Can you help me to lift this box up? It’s quite heavy.
Push	Spingere<br>Ha cercato di spingerla dentro al lago, ma si è opposta.<br>He tried to push her into the lake, but she opposed.
Arrive	Arrivare<br>Il mio piano è di arrivare in tempo per pranzo.<br>My plan is to arrive on time for lunch.
Underline	Sottolineare<br>Non mi piace sottolineare i tuoi errori, ma mi costringi a farlo.<br>I don’t like to underline your mistakes, but you force me to do it.
Erase	Cancellare<br>È difficile cancellare questa matita.<br>This pencil is hard to erase.
Return	Restituire<br>Se non ti piacciono le scarpe che hai comprato, le puoi restituire.<br>If you don’t like the shoes you bought, you can return them.
Repeat	Ripetere<br>Non voglio ripeterlo ancora. Non devi fumare!<br>I don’t want to repeat it again. You mustn’t smoke!
Correct	Correggere<br>Non mi interessa se provi a correggermi ogni volta che parlo.<br>I don’t care if you try to correct me any time I speak.
Maintain	Mantenere<br>Il mio obiettivo è mantenere un ritmo di 60 passi al minuto.<br>My goal is to maintain a rate of 60 steps per minute.
Change	Cambiare<br>Perché hai deciso di cambiare il tuo programma?<br>Why did you decide to change your program?
Decide	Decidere<br>Non riesco a decidere tra Giorgio e Marco.<br>I can’t decide between Giorgio and Marco.
Agree	Essere d’accordo<br>Non posso essere d’accordo con te se hai una mentalità così ristretta.<br>I can’t agree with you if you are so narrow minded.
Criticise	Criticare<br>Non sopporto le persone che devono criticare gli altri.<br>I can’t stand people who criticise others.
Support	Sostenere<br>Mi piacerebbe avere il tuo aiuto per sostenere la mia campagna.<br>I would like your help to support my campaign.
Joke	Scherzare<br>La mia insegnante è così severa. Non possiamo scherzare in classe.<br>My teacher is so strict. We can’t joke in the class.
Arrange	Organizzare<br>Per il mio compleanno, voglio organizzare una festa con amici e parenti.<br>For my birthday, I want to arrange a party with family and friends.
Assign	Assegnare<br>Il comitato ha deciso di assegnargli il premio.<br>The committee decided to assign him the prize.
Jump	Saltare<br>Smettila di saltare sul mio letto!<br>Stop jumping on my bed!
Inspect	Ispezionare<br>Quelle persone sono qui per ispezionare la scuola.<br>Those people are here to inspect the school.
Open	Aprire<br>Non aprire la porta agli sconosciuti!<br>Don’t open the door to strangers!
Meet	Incontrare<br>Non voglio incontrare mio fratello. L'ultima volta abbiamo discusso per ore.<br>I don’t want to meet my brother. Last time we argued for hours.
Monday	Lunedì<br>Lunedì inizio la dieta.<br>I am starting a diet on Monday.
Tuesday	Martedì<br>Martedì è giorno di mercato in molte città.<br>Tuesday is market day in many cities.
Wednesday	Mercoledì<br>Ho prenotato un tavolo al ristorante per mercoledì prossimo alle 20:00.<br>I booked a table at the restaurant for next Wednesday at 8 pm.
Thursday	Giovedì<br>La partita di calcio degli under 19 si terrà giovedì prossimo.<br>The under 19's football match is taking place next Thursday.
Friday	Venerdì<br>Venerdì è il giorno più bello della settimana!<br>Friday is the best day of the week!
Saturday	Sabato<br>Il sabato i negozi chiudono un po’ prima.<br>On Saturdays shops close a little earlier.
Sunday	Domenica<br>Domenica facciamo un brunch. Vuoi unirti a noi?<br>We are having a brunch on Sunday. Would you like to join us?
Week	Settimana<br>La prossima settimana verrà inaugurato un nuovo negozio di vestiti.<br>A new clothing store will be inaugurated next week.
Office	Ufficio<br>Vado in ufficio in macchina tutte le mattine e il traffico è piuttosto intenso.<br>I go to the office by car every morning and the traffic is quite heavy.
Business	Affari<br>Io e il mio socio siamo in affari da molti anni.<br>My partner and I have been in business for many years.
Approve	Approvare<br>Dovresti approvare il documento che ti ho messo sulla scrivania.<br>You should approve the document I left on your desk.
Agriculture	Agricoltura<br>L’agricoltura è un settore importante in Italia.<br>Agriculture is an important sector in Italy.
Colleague	Collega<br>“È un tuo collega?” “Sì, lavoriamo nello stesso ufficio”<br>"Is he your colleague?" "Yes, we work in the same office”
Contract	Contratto<br>Ho appena firmato il contratto per l’acquisto di una casa nuova.<br>I have just signed the contract for the purchase of a new house.
Export	Esportare<br>Vogliamo esportare questi prodotti ma non sappiamo come.<br>We want to export these products but we do not know how.
Factory	Fabbrica<br>Quella fabbrica produce le migliori automobili al mondo.<br>That factory produces the best cars in the world.
Import	Importare<br>Vorrei iniziare una nuova attività e importare prodotti dal Giappone.<br>I would like to start a new business and import products from Japan.
Industry	Industria<br>L’industria manifatturiera è molto importante in Italia.<br>The manufacturing industry is very important in Italy.
Crane	Gru<br>Ci vuole una gru per spostare quel camion!<br>It takes a crane to move that lorry!
Discount	Sconto<br>Mi fa lo sconto se compro una grande quantità?<br>Will I have a discount if I buy a large amount?
Desk	Scrivania<br>Lascialo sulla mia scrivania. Lo guarderò dopo.<br>Leave it on my desk. I'll give a look later.
Chair	Sedia<br>Prendi una sedia per il nostro ospite.<br>Take a chair for our guest.
Saw	Sega<br>Hanno tagliato i rami degli alberi con una sega.<br>The tree branches were cut with a saw.
Salesman	Venditore<br>“Che lavoro fai?” “Sono venditore per una multinazionale”<br>“What do you do?” “I am a salesman for a multinational company”
